Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
10,MMPA_V1_v15tb_01,hb_comp_curve,,,,
10,MMPA_V1_v15tb_01,hb_ocp1dbm_value,4.467,,,
10,MMPA_V1_v15tb_01,hb_peakPAE_value,8.459,,,
10,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,18.72,> 18,,pass
10,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,3.36,,,
10,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
10,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
10,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
10,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
10,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
10,MMPA_V1_v15tb_01,/vdd!,,,,
10,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
10,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.5G,,,,,,
11,MMPA_V1_v15tb_11,hb_ocp1dbm_value,12.09,,,
11,MMPA_V1_v15tb_11,hb_peakPAE_value,25.06,,,
11,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,18.12,> 18,,pass
11,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.936,,,
11,MMPA_V1_v15tb_11,hb_comp_curve,,,,
11,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
11,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
11,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
11,MMPA_V1_v15tb_10,hb_comp_curve,,,,
11,MMPA_V1_v15tb_10,hb_ocp1dbm_value,11.54,,,
11,MMPA_V1_v15tb_10,hb_peakPAE_value,22.07,,,
11,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,18.84,> 18,,pass
11,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,12.78,,,
11,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
11,MMPA_V1_v15tb_10,hb_outputPowerDBM_curve,,,,
11,MMPA_V1_v15tb_10,hb_PAE_curve,,,,
11,MMPA_V1_v15tb_10,/OUTPUT_PORT/PLUS,,,,
11,MMPA_V1_v15tb_10,/vdd!,,,,
11,MMPA_V1_v15tb_10,/INPUT_PORT/PLUS,,,,
11,MMPA_V1_v15tb_10,/INPUT_NODE,,,,
11,MMPA_V1_v15tb_10,/VDD/PLUS,,,,
11,MMPA_V1_v15tb_01,hb_comp_curve,,,,
11,MMPA_V1_v15tb_01,hb_ocp1dbm_value,4.015,,,
11,MMPA_V1_v15tb_01,hb_peakPAE_value,8.342,,,
11,MMPA_V1_v15tb_01,hb_gainAt-20dbm_value,18.9,> 18,,pass
11,MMPA_V1_v15tb_01,hb_PAEAtOcp1dbm,3.032,,,
11,MMPA_V1_v15tb_01,hb_outputPowerW_curve,,,,
11,MMPA_V1_v15tb_01,hb_outputPowerDBM_curve,,,,
11,MMPA_V1_v15tb_01,hb_PAE_curve,,,,
11,MMPA_V1_v15tb_01,/VDD/PLUS,,,,
11,MMPA_V1_v15tb_01,/OUTPUT_PORT/PLUS,,,,
11,MMPA_V1_v15tb_01,/vdd!,,,,
11,MMPA_V1_v15tb_01,/INPUT_NODE,,,,
11,MMPA_V1_v15tb_01,/INPUT_PORT/PLUS,,,,
Parameters: input_port_f=6.55G,,,,,,
12,MMPA_V1_v15tb_11,hb_ocp1dbm_value,12.03,,,
12,MMPA_V1_v15tb_11,hb_peakPAE_value,24.95,,,
12,MMPA_V1_v15tb_11,hb_gainAt-20dbm_value,18.28,> 18,,pass
12,MMPA_V1_v15tb_11,hb_PAEAtOcp1dbm,9.818,,,
12,MMPA_V1_v15tb_11,hb_comp_curve,,,,
12,MMPA_V1_v15tb_11,hb_outputPowerW_curve,,,,
12,MMPA_V1_v15tb_11,hb_outputPowerDBM_curve,,,,
12,MMPA_V1_v15tb_11,hb_PAE_curve,,,,
12,MMPA_V1_v15tb_10,hb_comp_curve,,,,
12,MMPA_V1_v15tb_10,hb_ocp1dbm_value,11.14,,,
12,MMPA_V1_v15tb_10,hb_peakPAE_value,21.87,,,
12,MMPA_V1_v15tb_10,hb_gainAt-20dbm_value,19.04,> 18,,pass
12,MMPA_V1_v15tb_10,hb_PAEAtOcp1dbm,11.67,,,
12,MMPA_V1_v15tb_10,hb_outputPowerW_curve,,,,
