Point,"hb_ocp1dbm_value","hb_peakPAE_value","hb_gainAt-20dbm_value","hb_PinAtOcp1dbm_value","hb_PAEAtOcp1dbm","hb_comp_curve","hb_outputPowerW_curve","hb_outputPowerDBM_curve","hb_PAE_curve"
234,11.7443328422696,24.5084932100811,17.8913976016244,-5.15440702708336,10.242950259501,wave,wave,wave,wave
235,11.4121201307941,22.4389505442753,18.0867766609513,-5.68982027059076,8.41037560439802,wave,wave,wave,wave
236,11.5762261554148,23.0189822814332,18.1440310246693,-5.57326222639381,8.56895339653065,wave,wave,wave,wave
237,11.9996216903354,25.0574960404344,17.7905783414603,-4.79898503101802,11.4558007085453,wave,wave,wave,wave
238,11.7653067425873,24.353510811526,18.1663922441229,-5.40706943270423,9.64847922500659,wave,wave,wave,wave
239,11.8848074251088,23.6611431115888,19.5518367684861,-6.6533890958138,7.9662044990536,wave,wave,wave,wave
240,12.0389261556322,25.2525246993641,18.6169101704411,-5.57828327336302,10.2070998115275,wave,wave,wave,wave
241,12.016597809255,25.3439403646025,18.7494058280513,-5.74075859042685,10.3630042457542,wave,wave,wave,wave
242,11.8974139187139,24.7930071334046,18.223209207536,-5.33064455147637,10.0056696111999,wave,wave,wave,wave
243,11.4975666977776,22.1248275777021,19.0307473923746,-6.53617774219175,7.57748449073219,wave,wave,wave,wave
244,12.1749233700344,25.5960620256357,18.085217921836,-4.91479815645396,11.8127177629228,wave,wave,wave,wave
245,11.630908452071,24.5058605711436,18.0044751873077,-5.38695503506109,9.88369294556426,wave,wave,wave,wave
246,11.773507710742,23.9025751345121,18.0989930726706,-5.32430476462402,9.42687892029278,wave,wave,wave,wave
247,11.4924992794464,22.9071989295215,18.1142430675554,-5.63729891730288,8.46601319441502,wave,wave,wave,wave
248,11.6885331357689,23.489041863064,18.3724311975371,-5.68606697143014,8.77576360384131,wave,wave,wave,wave
249,12.1408480182552,25.6959588036902,18.3583454918594,-5.2202625991097,11.5312932828042,wave,wave,wave,wave
250,11.6624661868616,23.9313149974054,18.1024406928238,-5.45637084517319,9.10313517144077,wave,wave,wave,wave
251,11.721543708991,23.1300182544858,19.3412858651282,-6.61589946918099,7.93162704432249,wave,wave,wave,wave
252,11.7093085294245,23.7333612347609,18.097240250615,-5.39420297123141,8.91319493000376,wave,wave,wave,wave
253,12.2103696173633,25.1863141489665,19.0168226887469,-5.79670570569243,9.79510628729396,wave,wave,wave,wave
254,11.6335177596408,24.5364639861101,17.8147133640122,-5.19548261978997,9.90187278545612,wave,wave,wave,wave
255,11.8486982046919,24.0810642336797,18.6777494226154,-5.82318537297061,9.17580211086356,wave,wave,wave,wave
256,11.1898617391534,22.3410703285755,17.6301916498524,-5.45498359793658,8.41559845595996,wave,wave,wave,wave
257,11.9125411112936,24.8505947457286,18.3697998790916,-5.46274901769238,10.0512971740219,wave,wave,wave,wave
